state,county,year,party,candidate,votes,pct
ar,Jackson,2004,REP,George Bush,"2,617",42.4%
ar,Jackson,2004,GRE,Ralph Nader,49,0.8%
ar,Jefferson,2004,DEM,John Kerry,"19,536",65.1%
ar,Jefferson,2004,REP,George Bush,"10,165",33.9%
ar,Jefferson,2004,GRE,Ralph Nader,327,1.1%
ar,Johnson,2004,REP,George Bush,"4,300",54.2%
ar,Johnson,2004,DEM,John Kerry,"3,621",45.6%
ar,Johnson,2004,GRE,Ralph Nader,18,0.2%
ar,Lafayette,2004,REP,George Bush,"1,595",50.3%
ar,Lafayette,2004,DEM,John Kerry,"1,562",49.2%
ar,Lafayette,2004,GRE,Ralph Nader,15,0.5%
ar,Lawrence,2004,DEM,John Kerry,"3,543",54.1%
ar,Lawrence,2004,REP,George Bush,"2,951",45.0%
ar,Lawrence,2004,GRE,Ralph Nader,59,0.9%
ar,Lee,2004,DEM,John Kerry,"2,543",62.8%
ar,Lee,2004,REP,George Bush,"1,491",36.8%
ar,Lee,2004,GRE,Ralph Nader,16,0.4%
ar,Lincoln,2004,DEM,John Kerry,"2,190",52.3%
ar,Lincoln,2004,REP,George Bush,"1,972",47.1%
ar,Lincoln,2004,GRE,Ralph Nader,27,0.6%
ar,Little River,2004,DEM,John Kerry,"2,677",50.7%
ar,Little River,2004,REP,George Bush,"2,574",48.8%
ar,Little River,2004,GRE,Ralph Nader,29,0.5%
ar,Logan,2004,REP,George Bush,"5,057",59.6%
ar,Logan,2004,DEM,John Kerry,"3,357",39.6%
ar,Logan,2004,GRE,Ralph Nader,67,0.8%
ar,Lonoke,2004,REP,George Bush,"12,860",65.4%
ar,Lonoke,2004,DEM,John Kerry,"6,708",34.1%
ar,Lonoke,2004,GRE,Ralph Nader,81,0.4%
ar,Madison,2004,REP,George Bush,"3,871",61.1%
ar,Madison,2004,DEM,John Kerry,"2,420",38.2%
ar,Madison,2004,GRE,Ralph Nader,42,0.7%
ar,Marion,2004,REP,George Bush,"4,102",60.5%
ar,Marion,2004,DEM,John Kerry,"2,590",38.2%
ar,Marion,2004,GRE,Ralph Nader,91,1.3%
ar,Miller,2004,REP,George Bush,"8,439",57.7%
ar,Miller,2004,DEM,John Kerry,"6,135",41.9%
ar,Miller,2004,GRE,Ralph Nader,58,0.4%
ar,Mississippi,2004,DEM,John Kerry,"7,536",55.1%
ar,Mississippi,2004,REP,George Bush,"6,090",44.5%
ar,Mississippi,2004,GRE,Ralph Nader,55,0.4%
ar,Monroe,2004,DEM,John Kerry,"2,040",56.0%
ar,Monroe,2004,REP,George Bush,"1,585",43.5%
ar,Monroe,2004,GRE,Ralph Nader,15,0.4%
ar,Montgomery,2004,REP,George Bush,"2,355",60.2%
ar,Montgomery,2004,DEM,John Kerry,"1,518",38.8%
ar,Montgomery,2004,GRE,Ralph Nader,37,0.9%
ar,Nevada,2004,REP,George Bush,"1,748",50.6%
ar,Nevada,2004,DEM,John Kerry,"1,688",48.9%
ar,Nevada,2004,GRE,Ralph Nader,16,0.5%
ar,Newton,2004,REP,George Bush,"2,778",64.1%
ar,Newton,2004,DEM,John Kerry,"1,505",34.7%
ar,Newton,2004,GRE,Ralph Nader,51,1.2%
ar,Ouachita,2004,REP,George Bush,"5,323",50.5%
ar,Ouachita,2004,DEM,John Kerry,"5,171",49.1%
ar,Ouachita,2004,GRE,Ralph Nader,48,0.5%
ar,Perry,2004,REP,George Bush,"2,435",55.4%
ar,Perry,2004,DEM,John Kerry,"1,919",43.6%
ar,Perry,2004,GRE,Ralph Nader,44,1.0%
ar,Phillips,2004,DEM,John Kerry,"5,563",63.7%
ar,Phillips,2004,REP,George Bush,"3,138",35.9%
ar,Phillips,2004,GRE,Ralph Nader,29,0.3%
ar,Pike,2004,REP,George Bush,"2,009",60.1%
ar,Pike,2004,DEM,John Kerry,"1,310",39.2%
ar,Pike,2004,GRE,Ralph Nader,26,0.8%
ar,Poinsett,2004,DEM,John Kerry,"4,068",52.9%
ar,Poinsett,2004,REP,George Bush,"3,554",46.2%
ar,Poinsett,2004,GRE,Ralph Nader,68,0.9%
ar,Polk,2004,REP,George Bush,"5,181",67.1%
ar,Polk,2004,DEM,John Kerry,"2,468",32.0%
ar,Polk,2004,GRE,Ralph Nader,73,0.9%
ar,Pope,2004,REP,George Bush,"13,614",65.4%
ar,Pope,2004,DEM,John Kerry,"7,100",34.1%
ar,Pope,2004,GRE,Ralph Nader,90,0.4%
ar,Prairie,2004,REP,George Bush,"2,029",56.4%
ar,Prairie,2004,DEM,John Kerry,"1,554",43.2%
ar,Prairie,2004,GRE,Ralph Nader,15,0.4%
ar,Pulaski,2004,DEM,John Kerry,"81,291",55.3%
ar,Pulaski,2004,REP,George Bush,"65,052",44.3%
ar,Pulaski,2004,GRE,Ralph Nader,611,0.4%
ar,Randolph,2004,DEM,John Kerry,"3,411",51.7%
ar,Randolph,2004,REP,George Bush,"3,157",47.8%
ar,Randolph,2004,GRE,Ralph Nader,35,0.5%
ar,Saline,2004,REP,George Bush,"24,833",63.3%
ar,Saline,2004,DEM,John Kerry,"14,140",36.1%
ar,Saline,2004,GRE,Ralph Nader,231,0.6%
ar,Scott,2004,REP,George Bush,"2,522",62.6%
ar,Scott,2004,DEM,John Kerry,"1,477",36.6%
ar,Scott,2004,GRE,Ralph Nader,32,0.8%
ar,Searcy,2004,REP,George Bush,"2,562",65.2%
ar,Searcy,2004,DEM,John Kerry,"1,352",34.4%
ar,Searcy,2004,GRE,Ralph Nader,15,0.4%
ar,Sebastian,2004,REP,George Bush,"27,251",62.1%
ar,Sebastian,2004,DEM,John Kerry,"16,426",37.4%
ar,Sebastian,2004,GRE,Ralph Nader,215,0.5%
ar,Sevier,2004,REP,George Bush,"2,513",54.9%
ar,Sevier,2004,DEM,John Kerry,"2,034",44.4%
ar,Sevier,2004,GRE,Ralph Nader,31,0.7%
ar,Sharp,2004,REP,George Bush,"4,090",55.2%
ar,Sharp,2004,DEM,John Kerry,"3,262",44.0%
ar,Sharp,2004,GRE,Ralph Nader,64,0.9%
ar,St. Francis,2004,DEM,John Kerry,"5,486",60.1%
ar,St. Francis,2004,REP,George Bush,"3,603",39.5%
ar,St. Francis,2004,GRE,Ralph Nader,42,0.5%
ar,Stone,2004,REP,George Bush,"3,188",57.9%
ar,Stone,2004,DEM,John Kerry,"2,255",41.0%
ar,Stone,2004,GRE,Ralph Nader,60,1.1%
ar,Union,2004,REP,George Bush,"10,468",59.5%
ar,Union,2004,DEM,John Kerry,"7,056",40.1%
ar,Union,2004,GRE,Ralph Nader,62,0.4%
ar,Van Buren,2004,REP,George Bush,"3,719",52.7%
ar,Van Buren,2004,DEM,John Kerry,"3,310",46.9%
ar,Van Buren,2004,GRE,Ralph Nader,34,0.5%
ar,Washington,2004,REP,George Bush,"35,652",56.1%
ar,Washington,2004,DEM,John Kerry,"27,530",43.3%
ar,Washington,2004,GRE,Ralph Nader,387,0.6%
ar,White,2004,REP,George Bush,"17,001",64.6%
ar,White,2004,DEM,John Kerry,"9,129",34.7%
ar,White,2004,GRE,Ralph Nader,171,0.7%
ar,Woodruff,2004,DEM,John Kerry,"1,969",65.6%
ar,Woodruff,2004,REP,George Bush,"1,016",33.9%
ar,Woodruff,2004,GRE,Ralph Nader,16,0.5%
ar,Yell,2004,REP,George Bush,"3,660",55.4%
ar,Yell,2004,DEM,John Kerry,"2,902",44.0%
az,Apache,2004,DEM,John Kerry,"15,082",65.1%
az,Apache,2004,REP,George Bush,"8,068",34.9%
az,Apache,2004,GRE,Ralph Nader,-,-
az,Cochise,2004,REP,George Bush,"24,828",60.5%
az,Cochise,2004,DEM,John Kerry,"16,219",39.5%
az,Cochise,2004,GRE,Ralph Nader,-,-
az,Coconino,2004,DEM,John Kerry,"26,513",56.3%
az,Coconino,2004,REP,George Bush,"20,619",43.7%
az,Coconino,2004,GRE,Ralph Nader,-,-
az,Gila,2004,REP,George Bush,"10,494",59.6%
az,Gila,2004,DEM,John Kerry,"7,107",40.4%
az,Gila,2004,GRE,Ralph Nader,-,-
az,Graham,2004,REP,George Bush,"7,302",69.9%
az,Graham,2004,DEM,John Kerry,"3,141",30.1%
az,Graham,2004,GRE,Ralph Nader,-,-
az,Greenlee,2004,REP,George Bush,"1,899",62.4%
az,Greenlee,2004,DEM,John Kerry,"1,146",37.6%
az,Greenlee,2004,GRE,Ralph Nader,-,-
az,La Paz,2004,REP,George Bush,"3,158",63.1%
az,La Paz,2004,DEM,John Kerry,"1,849",36.9%
az,La Paz,2004,GRE,Ralph Nader,-,-
az,Maricopa,2004,REP,George Bush,"539,776",57.2%
az,Maricopa,2004,DEM,John Kerry,"403,882",42.8%
az,Maricopa,2004,GRE,Ralph Nader,-,-
az,Mohave,2004,REP,George Bush,"29,608",64.5%
az,Mohave,2004,DEM,John Kerry,"16,267",35.5%
az,Mohave,2004,GRE,Ralph Nader,-,-
az,Navajo,2004,REP,George Bush,"16,474",53.7%
az,Navajo,2004,DEM,John Kerry,"14,224",46.3%
az,Navajo,2004,GRE,Ralph Nader,-,-
az,Pima,2004,DEM,John Kerry,"154,291",52.7%
az,Pima,2004,REP,George Bush,"138,431",47.3%
az,Pima,2004,GRE,Ralph Nader,-,-
az,Pinal,2004,REP,George Bush,"34,813",57.6%
az,Pinal,2004,DEM,John Kerry,"25,652",42.4%
az,Pinal,2004,GRE,Ralph Nader,-,-
az,Santa Cruz,2004,DEM,John Kerry,"6,909",59.7%
az,Santa Cruz,2004,REP,George Bush,"4,668",40.3%
az,Santa Cruz,2004,GRE,Ralph Nader,-,-
az,Yavapai,2004,REP,George Bush,"49,675",62.1%
az,Yavapai,2004,DEM,John Kerry,"30,377",37.9%
az,Yavapai,2004,GRE,Ralph Nader,-,-
az,Yuma,2004,REP,George Bush,"18,398",59.2%
az,Yuma,2004,DEM,John Kerry,"12,668",40.8%
ca,Alameda,2004,DEM,John Kerry,"326,675",75.2%
ca,Alameda,2004,REP,George Bush,"107,489",24.8%
ca,Alameda,2004,GRE,Ralph Nader,-,-
ca,Alpine,2004,DEM,John Kerry,373,54.5%
ca,Alpine,2004,REP,George Bush,311,45.5%
ca,Alpine,2004,GRE,Ralph Nader,-,-
