"state","county","year","party","candidate","votes","pct"
"IA","Tama",2012,"OTH","Other",72,0.8
"IA","Tama",2012,"LIB","Gary Johnson",45,0.5
"IA","Taylor",2012,"REP","Mitt Romney",1680,56.4
"IA","Taylor",2012,"DEM","Barack Obama",1261,42.3
"IA","Taylor",2012,"LIB","Gary Johnson",19,0.6
"IA","Taylor",2012,"OTH","Other",18,0.6
"IA","Union",2012,"DEM","Barack Obama",3029,51.3
"IA","Union",2012,"REP","Mitt Romney",2800,47.5
"IA","Union",2012,"LIB","Gary Johnson",36,0.6
"IA","Union",2012,"OTH","Other",34,0.6
"IA","Van Buren",2012,"REP","Mitt Romney",2058,58.1
"IA","Van Buren",2012,"DEM","Barack Obama",1398,39.5
"IA","Van Buren",2012,"OTH","Other",49,1.4
"IA","Van Buren",2012,"LIB","Gary Johnson",35,1
"IA","Wapello",2012,"DEM","Barack Obama",8616,55.1
"IA","Wapello",2012,"REP","Mitt Romney",6777,43.4
"IA","Wapello",2012,"OTH","Other",127,0.8
"IA","Wapello",2012,"LIB","Gary Johnson",110,0.7
"IA","Warren",2012,"REP","Mitt Romney",13031,50.4
"IA","Warren",2012,"DEM","Barack Obama",12521,48.4
"IA","Warren",2012,"LIB","Gary Johnson",188,0.7
"IA","Warren",2012,"OTH","Other",135,0.5
"IA","Washington",2012,"REP","Mitt Romney",5540,50.9
"IA","Washington",2012,"DEM","Barack Obama",5081,46.7
"IA","Washington",2012,"OTH","Other",157,1.4
"IA","Washington",2012,"LIB","Gary Johnson",102,0.9
"IA","Wayne",2012,"REP","Mitt Romney",1583,54.9
"IA","Wayne",2012,"DEM","Barack Obama",1251,43.3
"IA","Wayne",2012,"OTH","Other",31,1.1
"IA","Wayne",2012,"LIB","Gary Johnson",21,0.7
"IA","Webster",2012,"DEM","Barack Obama",9458,52.2
"IA","Webster",2012,"REP","Mitt Romney",8453,46.7
"IA","Webster",2012,"OTH","Other",116,0.6
"IA","Webster",2012,"LIB","Gary Johnson",91,0.5
"IA","Winnebago",2012,"REP","Mitt Romney",2897,49.3
"IA","Winnebago",2012,"DEM","Barack Obama",2895,49.3
"IA","Winnebago",2012,"OTH","Other",49,0.8
"IA","Winnebago",2012,"LIB","Gary Johnson",37,0.6
"IA","Winneshiek",2012,"DEM","Barack Obama",6245,56.7
"IA","Winneshiek",2012,"REP","Mitt Romney",4618,41.9
"IA","Winneshiek",2012,"LIB","Gary Johnson",87,0.8
"IA","Winneshiek",2012,"OTH","Other",66,0.6
"IA","Woodbury",2012,"REP","Mitt Romney",22136,49.5
"IA","Woodbury",2012,"DEM","Barack Obama",22026,49.3
"IA","Woodbury",2012,"LIB","Gary Johnson",315,0.7
"IA","Woodbury",2012,"OTH","Other",225,0.5
"IA","Worth",2012,"DEM","Barack Obama",2343,56.6
"IA","Worth",2012,"REP","Mitt Romney",1743,42.1
"IA","Worth",2012,"OTH","Other",29,0.7
"IA","Worth",2012,"LIB","Gary Johnson",28,0.7
"IA","Wright",2012,"REP","Mitt Romney",3309,53.6
"IA","Wright",2012,"DEM","Barack Obama",2794,45.3
"IA","Wright",2012,"LIB","Gary Johnson",37,0.6
"ID","Ada",2012,"REP","Mitt Romney",97471,54
"ID","Ada",2012,"DEM","Barack Obama",77043,42.7
"ID","Ada",2012,"LIB","Gary Johnson",3416,1.9
"ID","Ada",2012,"OTH","Other",2431,1.3
"ID","Adams",2012,"REP","Mitt Romney",1413,68.6
"ID","Adams",2012,"DEM","Barack Obama",577,28
"ID","Adams",2012,"OTH","Other",42,2
"ID","Adams",2012,"LIB","Gary Johnson",28,1.4
"ID","Bannock",2012,"REP","Mitt Romney",21010,59.6
"ID","Bannock",2012,"DEM","Barack Obama",13214,37.5
"ID","Bannock",2012,"OTH","Other",594,1.7
"ID","Bannock",2012,"LIB","Gary Johnson",442,1.3
"ID","Bear Lake",2012,"REP","Mitt Romney",2489,88.2
"ID","Bear Lake",2012,"DEM","Barack Obama",302,10.7
"ID","Bear Lake",2012,"OTH","Other",22,0.8
"ID","Bear Lake",2012,"LIB","Gary Johnson",9,0.3
"ID","Benewah",2012,"REP","Mitt Romney",2596,66.8
"ID","Benewah",2012,"DEM","Barack Obama",1164,30
"ID","Benewah",2012,"OTH","Other",78,2
"ID","Benewah",2012,"LIB","Gary Johnson",46,1.2
"ID","Bingham",2012,"REP","Mitt Romney",13440,76.4
"ID","Bingham",2012,"DEM","Barack Obama",3822,21.7
"ID","Bingham",2012,"OTH","Other",186,1.1
"ID","Bingham",2012,"LIB","Gary Johnson",155,0.9
"ID","Blaine",2012,"DEM","Barack Obama",5992,58.8
"ID","Blaine",2012,"REP","Mitt Romney",3939,38.6
"ID","Blaine",2012,"LIB","Gary Johnson",167,1.6
"ID","Blaine",2012,"OTH","Other",96,0.9
"ID","Boise",2012,"REP","Mitt Romney",2284,68.3
"ID","Boise",2012,"DEM","Barack Obama",953,28.5
"ID","Boise",2012,"LIB","Gary Johnson",63,1.9
"ID","Boise",2012,"OTH","Other",45,1.3
"ID","Bonner",2012,"REP","Mitt Romney",11367,61.3
"ID","Bonner",2012,"DEM","Barack Obama",6500,35.1
"ID","Bonner",2012,"OTH","Other",347,1.9
"ID","Bonner",2012,"LIB","Gary Johnson",322,1.7
"ID","Bonneville",2012,"REP","Mitt Romney",32336,74.7
"ID","Bonneville",2012,"DEM","Barack Obama",9929,22.9
"ID","Bonneville",2012,"LIB","Gary Johnson",538,1.2
"ID","Bonneville",2012,"OTH","Other",499,1.2
"ID","Boundary",2012,"REP","Mitt Romney",3138,69.1
"ID","Boundary",2012,"DEM","Barack Obama",1225,27
"ID","Boundary",2012,"OTH","Other",104,2.3
"ID","Boundary",2012,"LIB","Gary Johnson",77,1.7
"ID","Butte",2012,"REP","Mitt Romney",1001,77.8
"ID","Butte",2012,"DEM","Barack Obama",258,20.1
"ID","Butte",2012,"OTH","Other",19,1.5
"ID","Butte",2012,"LIB","Gary Johnson",8,0.6
"ID","Camas",2012,"REP","Mitt Romney",402,69.6
"ID","Camas",2012,"DEM","Barack Obama",159,27.5
"ID","Camas",2012,"OTH","Other",10,1.7
"ID","Camas",2012,"LIB","Gary Johnson",7,1.2
"ID","Canyon",2012,"REP","Mitt Romney",44369,67.1
"ID","Canyon",2012,"DEM","Barack Obama",19866,30.1
"ID","Canyon",2012,"LIB","Gary Johnson",945,1.4
"ID","Canyon",2012,"OTH","Other",910,1.4
"ID","Caribou",2012,"REP","Mitt Romney",2608,85.5
"ID","Caribou",2012,"DEM","Barack Obama",385,12.6
"ID","Caribou",2012,"OTH","Other",36,1.2
"ID","Caribou",2012,"LIB","Gary Johnson",21,0.7
"ID","Cassia",2012,"REP","Mitt Romney",7150,85.3
"ID","Cassia",2012,"DEM","Barack Obama",1093,13
"ID","Cassia",2012,"OTH","Other",74,0.9
"ID","Cassia",2012,"LIB","Gary Johnson",70,0.8
"ID","Clark",2012,"REP","Mitt Romney",235,71.6
"ID","Clark",2012,"DEM","Barack Obama",66,20.1
"ID","Clark",2012,"LIB","Gary Johnson",16,4.9
"ID","Clark",2012,"OTH","Other",11,3.4
"ID","Clearwater",2012,"REP","Mitt Romney",2541,68.8
"ID","Clearwater",2012,"DEM","Barack Obama",1032,27.9
"ID","Clearwater",2012,"OTH","Other",79,2.1
"ID","Clearwater",2012,"LIB","Gary Johnson",44,1.2
"ID","Custer",2012,"REP","Mitt Romney",1744,74.1
"ID","Custer",2012,"DEM","Barack Obama",530,22.5
"ID","Custer",2012,"OTH","Other",53,2.3
"ID","Custer",2012,"LIB","Gary Johnson",25,1.1
"ID","Elmore",2012,"REP","Mitt Romney",5227,65.3
"ID","Elmore",2012,"DEM","Barack Obama",2513,31.4
"ID","Elmore",2012,"OTH","Other",137,1.7
"ID","Elmore",2012,"LIB","Gary Johnson",124,1.5
"ID","Franklin",2012,"REP","Mitt Romney",5195,92.8
"ID","Franklin",2012,"DEM","Barack Obama",325,5.8
"ID","Franklin",2012,"LIB","Gary Johnson",41,0.7
"ID","Franklin",2012,"OTH","Other",39,0.7
"ID","Fremont",2012,"REP","Mitt Romney",4907,84.6
"ID","Fremont",2012,"DEM","Barack Obama",810,14
"ID","Fremont",2012,"OTH","Other",51,0.9
"ID","Fremont",2012,"LIB","Gary Johnson",34,0.6
"ID","Gem",2012,"REP","Mitt Romney",5311,70.9
"ID","Gem",2012,"DEM","Barack Obama",1957,26.1
"ID","Gem",2012,"OTH","Other",129,1.7
"ID","Gem",2012,"LIB","Gary Johnson",93,1.2
"ID","Gooding",2012,"REP","Mitt Romney",3696,72.2
"ID","Gooding",2012,"DEM","Barack Obama",1287,25.1
"ID","Gooding",2012,"OTH","Other",84,1.6
"ID","Gooding",2012,"LIB","Gary Johnson",51,1
"ID","Idaho",2012,"REP","Mitt Romney",5821,75.1
"ID","Idaho",2012,"DEM","Barack Obama",1722,22.2
"ID","Idaho",2012,"OTH","Other",130,1.7
"ID","Idaho",2012,"LIB","Gary Johnson",76,1
"ID","Jefferson",2012,"REP","Mitt Romney",9895,86.9
"ID","Jefferson",2012,"DEM","Barack Obama",1303,11.4
"ID","Jefferson",2012,"LIB","Gary Johnson",97,0.9
"ID","Jefferson",2012,"OTH","Other",86,0.8
"ID","Jerome",2012,"REP","Mitt Romney",4804,71.9
"ID","Jerome",2012,"DEM","Barack Obama",1699,25.4
"ID","Jerome",2012,"OTH","Other",101,1.5
"ID","Jerome",2012,"LIB","Gary Johnson",77,1.2
"ID","Kootenai",2012,"REP","Mitt Romney",39347,65.8
"ID","Kootenai",2012,"DEM","Barack Obama",18824,31.5
"ID","Kootenai",2012,"LIB","Gary Johnson",838,1.4
"ID","Kootenai",2012,"OTH","Other",755,1.3
"ID","Latah",2012,"DEM","Barack Obama",8306,49.6
"ID","Latah",2012,"REP","Mitt Romney",7589,45.3
"ID","Latah",2012,"LIB","Gary Johnson",453,2.7
"ID","Latah",2012,"OTH","Other",411,2.5
"ID","Lemhi",2012,"REP","Mitt Romney",3029,73.7
"ID","Lemhi",2012,"DEM","Barack Obama",960,23.4
"ID","Lemhi",2012,"OTH","Other",79,1.9
"ID","Lemhi",2012,"LIB","Gary Johnson",41,1
"ID","Lewis",2012,"REP","Mitt Romney",1173,72.8
"ID","Lewis",2012,"DEM","Barack Obama",396,24.6
"ID","Lewis",2012,"OTH","Other",28,1.7
"ID","Lewis",2012,"LIB","Gary Johnson",15,0.9
"ID","Lincoln",2012,"REP","Mitt Romney",1141,70.3
"ID","Lincoln",2012,"DEM","Barack Obama",429,26.4
"ID","Lincoln",2012,"OTH","Other",35,2.2
"ID","Lincoln",2012,"LIB","Gary Johnson",17,1
"ID","Madison",2012,"REP","Mitt Romney",13445,93.3
"ID","Madison",2012,"DEM","Barack Obama",832,5.8
"ID","Madison",2012,"LIB","Gary Johnson",84,0.6
"ID","Madison",2012,"OTH","Other",51,0.4
"ID","Minidoka",2012,"REP","Mitt Romney",5442,78
"ID","Minidoka",2012,"DEM","Barack Obama",1390,19.9
"ID","Minidoka",2012,"OTH","Other",86,1.2
"ID","Minidoka",2012,"LIB","Gary Johnson",55,0.8
"ID","Nez Perce",2012,"REP","Mitt Romney",9967,59.2
"ID","Nez Perce",2012,"DEM","Barack Obama",6451,38.3
"ID","Nez Perce",2012,"OTH","Other",236,1.4
"ID","Nez Perce",2012,"LIB","Gary Johnson",194,1.2
"ID","Oneida",2012,"REP","Mitt Romney",1838,88
"ID","Oneida",2012,"DEM","Barack Obama",217,10.4
"ID","Oneida",2012,"LIB","Gary Johnson",19,0.9
"ID","Oneida",2012,"OTH","Other",15,0.7
"ID","Owyhee",2012,"REP","Mitt Romney",2794,75
"ID","Owyhee",2012,"DEM","Barack Obama",833,22.4
"ID","Owyhee",2012,"OTH","Other",65,1.7
"ID","Owyhee",2012,"LIB","Gary Johnson",31,0.8
"ID","Payette",2012,"REP","Mitt Romney",6004,70.7
"ID","Payette",2012,"DEM","Barack Obama",2271,26.7
"ID","Payette",2012,"OTH","Other",132,1.6
"ID","Payette",2012,"LIB","Gary Johnson",88,1
"ID","Power",2012,"REP","Mitt Romney",1870,64.4
"ID","Power",2012,"DEM","Barack Obama",982,33.8
"ID","Power",2012,"OTH","Other",30,1
"ID","Power",2012,"LIB","Gary Johnson",21,0.7
"ID","Shoshone",2012,"REP","Mitt Romney",2699,52.4
"ID","Shoshone",2012,"DEM","Barack Obama",2277,44.2
"ID","Shoshone",2012,"OTH","Other",101,2
"ID","Shoshone",2012,"LIB","Gary Johnson",71,1.4
"ID","Teton",2012,"REP","Mitt Romney",2458,54.3
"ID","Teton",2012,"DEM","Barack Obama",1926,42.6
"ID","Teton",2012,"OTH","Other",72,1.6
"ID","Teton",2012,"LIB","Gary Johnson",67,1.5
"ID","Twin Falls",2012,"REP","Mitt Romney",19773,70.3
"ID","Twin Falls",2012,"DEM","Barack Obama",7541,26.8
"ID","Twin Falls",2012,"OTH","Other",480,1.7
"ID","Twin Falls",2012,"LIB","Gary Johnson",348,1.2
"ID","Valley",2012,"REP","Mitt Romney",2664,54.2
"ID","Valley",2012,"DEM","Barack Obama",2095,42.6
"ID","Valley",2012,"OTH","Other",82,1.7
"ID","Valley",2012,"LIB","Gary Johnson",78,1.6
"ID","Washington",2012,"REP","Mitt Romney",3128,72.2
"ID","Washington",2012,"DEM","Barack Obama",1104,25.5
"ID","Washington",2012,"OTH","Other",62,1.4
"IL","Adams",2012,"REP","Mitt Romney",20371,66.7
"IL","Adams",2012,"DEM","Barack Obama",9627,31.5
"IL","Adams",2012,"LIB","Gary Johnson",375,1.2
"IL","Adams",2012,"OTH","Other",165,0.5
"IL","Alexander",2012,"DEM","Barack Obama",1961,56.1
"IL","Alexander",2012,"REP","Mitt Romney",1485,42.5
"IL","Alexander",2012,"LIB","Gary Johnson",29,0.8
"IL","Alexander",2012,"OTH","Other",20,0.6
"IL","Bond",2012,"REP","Mitt Romney",4091,55.9
"IL","Bond",2012,"DEM","Barack Obama",3016,41.2
"IL","Bond",2012,"LIB","Gary Johnson",149,2
"IL","Bond",2012,"OTH","Other",60,0.8
"IL","Boone",2012,"REP","Mitt Romney",11084,52
"IL","Boone",2012,"DEM","Barack Obama",9868,46.3
"IL","Boone",2012,"LIB","Gary Johnson",283,1.3
"IL","Boone",2012,"OTH","Other",98,0.5
"IL","Brown",2012,"REP","Mitt Romney",1511,64
"IL","Brown",2012,"DEM","Barack Obama",787,33.3
"IL","Brown",2012,"LIB","Gary Johnson",40,1.7
"IL","Brown",2012,"OTH","Other",24,1
"IL","Bureau",2012,"REP","Mitt Romney",8151,49.1
"IL","Bureau",2012,"DEM","Barack Obama",8118,48.9
"IL","Bureau",2012,"LIB","Gary Johnson",226,1.4
"IL","Bureau",2012,"OTH","Other",104,0.6
"IL","Calhoun",2012,"REP","Mitt Romney",1439,55.9
"IL","Calhoun",2012,"DEM","Barack Obama",1079,41.9
"IL","Calhoun",2012,"LIB","Gary Johnson",29,1.1
"IL","Calhoun",2012,"OTH","Other",27,1
"IL","Carroll",2012,"DEM","Barack Obama",3658,49.6
"IL","Carroll",2012,"REP","Mitt Romney",3551,48.2
"IL","Carroll",2012,"LIB","Gary Johnson",116,1.6
"IL","Carroll",2012,"OTH","Other",45,0.6
"IL","Cass",2012,"REP","Mitt Romney",2707,55.7
"IL","Cass",2012,"DEM","Barack Obama",2050,42.2
"IL","Cass",2012,"LIB","Gary Johnson",55,1.1
"IL","Cass",2012,"OTH","Other",46,0.9
"IL","Champaign",2012,"DEM","Barack Obama",40378,52
"IL","Champaign",2012,"REP","Mitt Romney",35086,45.2
"IL","Champaign",2012,"LIB","Gary Johnson",1271,1.6
"IL","Champaign",2012,"OTH","Other",885,1.1
"IL","Christian",2012,"REP","Mitt Romney",8873,60.4
"IL","Christian",2012,"DEM","Barack Obama",5487,37.4
"IL","Christian",2012,"LIB","Gary Johnson",205,1.4
"IL","Christian",2012,"OTH","Other",117,0.8
"IL","Clark",2012,"REP","Mitt Romney",5138,65.5
"IL","Clark",2012,"DEM","Barack Obama",2587,33
"IL","Clark",2012,"LIB","Gary Johnson",87,1.1
"IL","Clark",2012,"OTH","Other",31,0.4
"IL","Clay",2012,"REP","Mitt Romney",4184,70.9
"IL","Clay",2012,"DEM","Barack Obama",1581,26.8
"IL","Clay",2012,"LIB","Gary Johnson",96,1.6
"IL","Clay",2012,"OTH","Other",38,0.6
"IL","Clinton",2012,"REP","Mitt Romney",10493,64
"IL","Clinton",2012,"DEM","Barack Obama",5577,34
"IL","Clinton",2012,"LIB","Gary Johnson",225,1.4
"IL","Clinton",2012,"OTH","Other",99,0.6
"IL","Coles",2012,"REP","Mitt Romney",11623,54.5
"IL","Coles",2012,"DEM","Barack Obama",9252,43.4
"IL","Coles",2012,"LIB","Gary Johnson",304,1.4
"IL","Coles",2012,"OTH","Other",159,0.7
"IL","Cook",2012,"DEM","Barack Obama",1439123,74
"IL","Cook",2012,"REP","Mitt Romney",479204,24.6
"IL","Cook",2012,"LIB","Gary Johnson",15195,0.8
"IL","Cook",2012,"OTH","Other",10879,0.6
"IL","Crawford",2012,"REP","Mitt Romney",5577,64.9
"IL","Crawford",2012,"DEM","Barack Obama",2855,33.2
"IL","Crawford",2012,"LIB","Gary Johnson",112,1.3
"IL","Crawford",2012,"OTH","Other",54,0.6
"IL","Cumberland",2012,"REP","Mitt Romney",3506,66.3
"IL","Cumberland",2012,"DEM","Barack Obama",1640,31
"IL","Cumberland",2012,"LIB","Gary Johnson",96,1.8
"IL","Cumberland",2012,"OTH","Other",48,0.9
"IL","De Witt",2012,"REP","Mitt Romney",4576,62.4
"IL","De Witt",2012,"DEM","Barack Obama",2598,35.4
"IL","De Witt",2012,"LIB","Gary Johnson",99,1.3
"IL","De Witt",2012,"OTH","Other",65,0.9
"IL","DeKalb",2012,"DEM","Barack Obama",21171,51.6
"IL","DeKalb",2012,"REP","Mitt Romney",18906,46.1
"IL","DeKalb",2012,"LIB","Gary Johnson",634,1.5
"IL","DeKalb",2012,"OTH","Other",309,0.8
"IL","Douglas",2012,"REP","Mitt Romney",5331,67.6
"IL","Douglas",2012,"DEM","Barack Obama",2426,30.8
"IL","Douglas",2012,"LIB","Gary Johnson",92,1.2
"IL","Douglas",2012,"OTH","Other",40,0.5
"IL","DuPage",2012,"DEM","Barack Obama",197411,49.7
"IL","DuPage",2012,"REP","Mitt Romney",193333,48.7
"IL","DuPage",2012,"LIB","Gary Johnson",4450,1.1
"IL","DuPage",2012,"OTH","Other",1979,0.5
"IL","Edgar",2012,"REP","Mitt Romney",5125,65.6
"IL","Edgar",2012,"DEM","Barack Obama",2563,32.8
"IL","Edgar",2012,"LIB","Gary Johnson",76,1
"IL","Edgar",2012,"OTH","Other",46,0.6
"IL","Edwards",2012,"REP","Mitt Romney",2402,74.5
"IL","Edwards",2012,"DEM","Barack Obama",754,23.4
"IL","Edwards",2012,"LIB","Gary Johnson",47,1.5
"IL","Edwards",2012,"OTH","Other",22,0.7
"IL","Effingham",2012,"REP","Mitt Romney",12491,75.3
"IL","Effingham",2012,"DEM","Barack Obama",3855,23.2
"IL","Effingham",2012,"LIB","Gary Johnson",156,0.9
"IL","Effingham",2012,"OTH","Other",93,0.6
"IL","Fayette",2012,"REP","Mitt Romney",5950,66.4
"IL","Fayette",2012,"DEM","Barack Obama",2848,31.8
"IL","Fayette",2012,"LIB","Gary Johnson",117,1.3
"IL","Fayette",2012,"OTH","Other",48,0.5
"IL","Ford",2012,"REP","Mitt Romney",4225,70.4
"IL","Ford",2012,"DEM","Barack Obama",1654,27.6
"IL","Ford",2012,"LIB","Gary Johnson",89,1.5
"IL","Ford",2012,"OTH","Other",32,0.5
"IL","Franklin",2012,"REP","Mitt Romney",10253,57.3
"IL","Franklin",2012,"DEM","Barack Obama",7245,40.5
"IL","Franklin",2012,"LIB","Gary Johnson",241,1.3
"IL","Franklin",2012,"OTH","Other",152,0.8
"IL","Fulton",2012,"DEM","Barack Obama",8324,54.3
"IL","Fulton",2012,"REP","Mitt Romney",6622,43.2
"IL","Fulton",2012,"LIB","Gary Johnson",261,1.7
"IL","Fulton",2012,"OTH","Other",130,0.8
"IL","Gallatin",2012,"REP","Mitt Romney",1492,58.1
"IL","Gallatin",2012,"DEM","Barack Obama",1028,40
"IL","Gallatin",2012,"LIB","Gary Johnson",26,1
"IL","Gallatin",2012,"OTH","Other",23,0.9
"IL","Greene",2012,"REP","Mitt Romney",3446,61.4
"IL","Greene",2012,"DEM","Barack Obama",2023,36
"IL","Greene",2012,"LIB","Gary Johnson",109,1.9
"IL","Greene",2012,"OTH","Other",36,0.6
"IL","Grundy",2012,"REP","Mitt Romney",11198,53.4
"IL","Grundy",2012,"DEM","Barack Obama",9319,44.5
"IL","Grundy",2012,"LIB","Gary Johnson",313,1.5
"IL","Grundy",2012,"OTH","Other",126,0.6
"IL","Hamilton",2012,"REP","Mitt Romney",2566,65.2
"IL","Hamilton",2012,"DEM","Barack Obama",1266,32.2
"IL","Hamilton",2012,"LIB","Gary Johnson",63,1.6
"IL","Hamilton",2012,"OTH","Other",40,1
"IL","Hancock",2012,"REP","Mitt Romney",4810,58.5
"IL","Hancock",2012,"DEM","Barack Obama",3246,39.4
"IL","Hancock",2012,"LIB","Gary Johnson",119,1.4
"IL","Hancock",2012,"OTH","Other",54,0.7
"IL","Hardin",2012,"REP","Mitt Romney",1535,65.9
"IL","Hardin",2012,"DEM","Barack Obama",742,31.8
"IL","Hardin",2012,"LIB","Gary Johnson",31,1.3
"IL","Hardin",2012,"OTH","Other",22,0.9
"IL","Henderson",2012,"DEM","Barack Obama",1977,55.5
"IL","Henderson",2012,"REP","Mitt Romney",1538,43.2
"IL","Henderson",2012,"LIB","Gary Johnson",37,1
"IL","Henderson",2012,"OTH","Other",11,0.3
"IL","Henry",2012,"DEM","Barack Obama",12316,50.7
"IL","Henry",2012,"REP","Mitt Romney",11564,47.6
"IL","Henry",2012,"LIB","Gary Johnson",283,1.2
"IL","Henry",2012,"OTH","Other",116,0.5
"IL","Iroquois",2012,"REP","Mitt Romney",9115,71.4
"IL","Iroquois",2012,"DEM","Barack Obama",3408,26.7
"IL","Iroquois",2012,"LIB","Gary Johnson",172,1.3
"IL","Iroquois",2012,"OTH","Other",75,0.6
"IL","Jackson",2012,"DEM","Barack Obama",11306,53.4
"IL","Jackson",2012,"REP","Mitt Romney",9130,43.1
"IL","Jackson",2012,"LIB","Gary Johnson",380,1.8
"IL","Jackson",2012,"OTH","Other",374,1.8
"IL","Jasper",2012,"REP","Mitt Romney",3511,69.7
"IL","Jasper",2012,"DEM","Barack Obama",1434,28.5
"IL","Jasper",2012,"LIB","Gary Johnson",63,1.3
"IL","Jasper",2012,"OTH","Other",30,0.6
"IL","Jefferson",2012,"REP","Mitt Romney",9805,60.1
"IL","Jefferson",2012,"DEM","Barack Obama",6080,37.3
"IL","Jefferson",2012,"LIB","Gary Johnson",272,1.7
"IL","Jefferson",2012,"OTH","Other",146,0.9
"IL","Jersey",2012,"REP","Mitt Romney",6032,60.7
"IL","Jersey",2012,"DEM","Barack Obama",3656,36.8
"IL","Jersey",2012,"LIB","Gary Johnson",172,1.7
"IL","Jersey",2012,"OTH","Other",80,0.8
"IL","Jo Daviess",2012,"DEM","Barack Obama",5660,49.6
"IL","Jo Daviess",2012,"REP","Mitt Romney",5529,48.5
"IL","Jo Daviess",2012,"LIB","Gary Johnson",165,1.4
"IL","Jo Daviess",2012,"OTH","Other",57,0.5
"IL","Johnson",2012,"REP","Mitt Romney",3959,69.9
"IL","Johnson",2012,"DEM","Barack Obama",1571,27.7
"IL","Johnson",2012,"LIB","Gary Johnson",87,1.5
"IL","Johnson",2012,"OTH","Other",49,0.9
"IL","Kane",2012,"DEM","Barack Obama",91120,49.6
"IL","Kane",2012,"REP","Mitt Romney",89502,48.7
"IL","Kane",2012,"LIB","Gary Johnson",2134,1.2
"IL","Kane",2012,"OTH","Other",875,0.5
"IL","Kankakee",2012,"REP","Mitt Romney",23115,50.9
"IL","Kankakee",2012,"DEM","Barack Obama",21574,47.5
"IL","Kankakee",2012,"LIB","Gary Johnson",528,1.2
"IL","Kankakee",2012,"OTH","Other",235,0.5
"IL","Kendall",2012,"REP","Mitt Romney",23076,51.2
"IL","Kendall",2012,"DEM","Barack Obama",21219,47.1
"IL","Kendall",2012,"LIB","Gary Johnson",556,1.2
"IL","Kendall",2012,"OTH","Other",191,0.4
"IL","Knox",2012,"DEM","Barack Obama",12993,57.7
"IL","Knox",2012,"REP","Mitt Romney",9133,40.6
"IL","Knox",2012,"LIB","Gary Johnson",272,1.2
"IL","Knox",2012,"OTH","Other",119,0.5
"IL","La Salle",2012,"REP","Mitt Romney",23207,49.2
"IL","La Salle",2012,"DEM","Barack Obama",23023,48.8
"IL","La Salle",2012,"LIB","Gary Johnson",644,1.4
"IL","La Salle",2012,"OTH","Other",272,0.6
"IL","Lake",2012,"DEM","Barack Obama",151552,53.4
"IL","Lake",2012,"REP","Mitt Romney",128609,45.3
"IL","Lake",2012,"LIB","Gary Johnson",2762,1
"IL","Lake",2012,"OTH","Other",1109,0.4
"IL","Lawrence",2012,"REP","Mitt Romney",3853,64.4
"IL","Lawrence",2012,"DEM","Barack Obama",2010,33.6
"IL","Lawrence",2012,"LIB","Gary Johnson",88,1.5
"IL","Lawrence",2012,"OTH","Other",33,0.6
"IL","Lee",2012,"REP","Mitt Romney",8046,52.7
"IL","Lee",2012,"DEM","Barack Obama",6932,45.4
"IL","Lee",2012,"LIB","Gary Johnson",196,1.3
"IL","Lee",2012,"OTH","Other",101,0.7
"IL","Livingston",2012,"REP","Mitt Romney",9745,64.9
"IL","Livingston",2012,"DEM","Barack Obama",5014,33.4
"IL","Livingston",2012,"LIB","Gary Johnson",175,1.2
"IL","Livingston",2012,"OTH","Other",85,0.6
"IL","Logan",2012,"REP","Mitt Romney",7835,65.1
"IL","Logan",2012,"DEM","Barack Obama",3974,33
"IL","Logan",2012,"LIB","Gary Johnson",121,1
"IL","Logan",2012,"OTH","Other",107,0.9
"IL","Macon",2012,"REP","Mitt Romney",25249,51.8
"IL","Macon",2012,"DEM","Barack Obama",22688,46.5
"IL","Macon",2012,"LIB","Gary Johnson",552,1.1
"IL","Macon",2012,"OTH","Other",253,0.5
"IL","Macoupin",2012,"REP","Mitt Romney",10909,52.1
"IL","Macoupin",2012,"DEM","Barack Obama",9440,45.1
"IL","Macoupin",2012,"LIB","Gary Johnson",424,2
"IL","Macoupin",2012,"OTH","Other",174,0.8
"IL","Madison",2012,"REP","Mitt Romney",60481,49.5
"IL","Madison",2012,"DEM","Barack Obama",58813,48.1
"IL","Madison",2012,"LIB","Gary Johnson",1961,1.6
"IL","Madison",2012,"OTH","Other",948,0.8
"IL","Marion",2012,"REP","Mitt Romney",9229,58.7
"IL","Marion",2012,"DEM","Barack Obama",6210,39.5
"IL","Marion",2012,"LIB","Gary Johnson",212,1.3
"IL","Marion",2012,"OTH","Other",77,0.5
"IL","Marshall",2012,"REP","Mitt Romney",3287,56.3
"IL","Marshall",2012,"DEM","Barack Obama",2452,42
"IL","Marshall",2012,"LIB","Gary Johnson",65,1.1
"IL","Marshall",2012,"OTH","Other",38,0.7
"IL","Mason",2012,"REP","Mitt Romney",3265,52.1
"IL","Mason",2012,"DEM","Barack Obama",2867,45.7
"IL","Mason",2012,"LIB","Gary Johnson",83,1.3
"IL","Mason",2012,"OTH","Other",57,0.9
"IL","Massac",2012,"REP","Mitt Romney",4278,65.9
"IL","Massac",2012,"DEM","Barack Obama",2092,32.2
"IL","Massac",2012,"LIB","Gary Johnson",91,1.4
"IL","Massac",2012,"OTH","Other",31,0.5
"IL","McDonough",2012,"REP","Mitt Romney",6142,49.4
"IL","McDonough",2012,"DEM","Barack Obama",5957,47.9
